127.0.0.1 - - [04/Aug/2020:23:05:09 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:12 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 6321
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:12 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=8520EE903A0D7C66CB8D5032CDC6FC1B?ln=css HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:12 -0300] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-bluesky HTTP/1.1" 200 18328
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:12 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=8520EE903A0D7C66CB8D5032CDC6FC1B?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:12 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=8520EE903A0D7C66CB8D5032CDC6FC1B?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:12 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=8520EE903A0D7C66CB8D5032CDC6FC1B?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:12 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=8520EE903A0D7C66CB8D5032CDC6FC1B?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:12 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=8520EE903A0D7C66CB8D5032CDC6FC1B?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:12 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=8520EE903A0D7C66CB8D5032CDC6FC1B?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:13 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_72a7cf_256x240.png?ln=primefaces-bluesky HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [04/Aug/2020:23:05:13 -0300] "GET /Farmacia/faces/javax.faces.resource/images/default.png?ln=primefaces-bluesky HTTP/1.1" 200 145
